sim_step,Δ,δ,c,per_infected,βd,βₑ,βᵢ,γₑ,γₐ,avg_he_size,avg_degree,avg_direct_contacts,new_users,moved_users,perc_infected_users,perc_infected_locations
96,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09523809523809523,1.023715415019763,36.083333333333336,0,91,0.03359683794466403,0.0
97,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10976282404853833,1.1798418972332017,31.0,1,168,0.03359683794466403,0.0
98,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09817981246552675,1.0553359683794465,108.5,0,107,0.03359683794466403,0.0
99,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08052950910093767,0.8656126482213439,108.5,0,4,0.03359683794466403,0.0
100,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.084574370288656,0.9090909090909091,108.5,0,27,0.03162055335968379,0.0
101,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09339952197095054,1.0039525691699605,108.5,0,79,0.03162055335968379,0.0
102,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10204081632653061,1.0968379446640317,109.0,2,126,0.03162055335968379,0.0
103,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10038610038610038,1.0790513833992095,73.0,2,113,0.03162055335968379,0.0
104,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09358337929766501,1.0059288537549407,54.75,0,74,0.03162055335968379,0.0
105,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08163265306122448,0.8774703557312253,73.0,0,7,0.03162055335968379,0.0
106,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0840227983085126,0.9031620553359684,73.0,0,19,0.03162055335968379,0.0
107,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09413495127780842,1.0118577075098814,73.16666666666667,1,77,0.03162055335968379,0.0
108,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09634123919838206,1.0355731225296443,73.33333333333333,1,89,0.03162055335968379,0.0
109,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10093767236624379,1.0849802371541502,73.33333333333333,0,114,0.03162055335968379,0.0
110,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09119323405037691,0.9802371541501976,220.0,0,59,0.03162055335968379,0.0
111,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08181651038793895,0.8794466403162056,Inf,0,5,0.03162055335968379,0.0
112,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08328736900165472,0.8952569169960475,220.0,0,14,0.03162055335968379,0.0
113,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09836366979224122,1.0573122529644268,110.0,0,101,0.03162055335968379,0.0
114,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09634123919838206,1.0355731225296443,110.0,0,94,0.03162055335968379,0.0
115,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09523809523809523,1.023715415019763,221.5,3,83,0.03162055335968379,0.0
116,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08586137157565729,0.9229249011857708,110.75,0,27,0.03162055335968379,0.0
117,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0827357970215113,0.8893280632411067,110.75,0,8,0.029644268774703556,0.0
118,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08659680088251517,0.9308300395256917,110.75,0,29,0.029644268774703556,0.0
119,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.0948703805846663,1.0197628458498025,111.0,1,72,0.029644268774703556,0.0
120,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.09468652325795184,1.017786561264822,111.25,1,75,0.029644268774703556,0.0
121,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.10020224305938592,1.0770750988142292,55.625,0,107,0.029644268774703556,0.0
122,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08990623276337562,0.9664031620553359,37.166666666666664,1,45,0.029644268774703556,0.0
123,4,60000 milliseconds,5,20,0.8,0.0,0.0,0.0,0.06,0.08291965434822578,0.8913043478260869,55.75,0,6,0.02766798418972332,0.0
